tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
477,8/25/2017 15:25:23,8/25/2017 15:33:21,3348,Coffey St & Conover St,40.677236,-74.015665,3340,Wolcott St & Dwight St,40.6753274,-74.0100698,27425,Subscriber,1949,male,
630,10/20/2017 7:05:21,10/20/2017 7:15:51,519,Pershing Square North,40.751873,-73.977706,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,15223,Subscriber,1950,male,
420,6/16/2017 21:59:40,6/16/2017 22:06:41,285,Broadway & E 14 St,40.73454567,-73.99074142,445,E 10 St & Avenue A,40.72740794,-73.98142006,21543,Subscriber,1997,male,
350,2/16/2018 20:42:59,2/16/2018 20:48:49,3658,W 18 St & 9 Ave,40.74353373,-74.00367558,345,W 13 St & 6 Ave,40.73649403,-73.99704374,16659,Subscriber,1933,female,
557,4/25/2016 20:01:58,4/25/2016 20:11:16,3141,1 Ave & E 68 St,40.76500525,-73.95818491,454,E 51 St & 1 Ave,40.75455731,-73.96592976,18848,Subscriber,1949,male,
429,3/26/2016 19:50:08,3/26/2016 19:57:18,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,349,Rivington St & Ridge St,40.71850211,-73.98329859,19877,Subscriber,1996,male,
840,5/9/2014 9:35:57,5/9/2014 9:49:57,340,Madison St & Clinton St,40.71269042,-73.98776323,268,Howard St & Centre St,40.71910537,-73.99973337,18653,Subscriber,1997,male,
617,7/23/2017 16:07:54,7/23/2017 16:18:11,3365,3 St & 7 Ave,40.6703837,-73.97839676,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,17295,Subscriber,1945,female,
357,11/22/2014 19:07:29,11/22/2014 19:13:26,502,Henry St & Grand St,40.714215,-73.981346,307,Canal St & Rutgers St,40.71427487,-73.98990025,17075,Subscriber,1939,male,
353,5/24/2018 14:07:35,5/24/2018 14:13:28,412,Forsyth St & Canal St,40.7158155,-73.99422366,361,Allen St & Hester St,40.71605866,-73.99190759,30065,Subscriber,1999,male,
1208,10/25/2017 19:08:41,10/25/2017 19:28:50,385,E 55 St & 2 Ave,40.75797322,-73.96603308,393,E 5 St & Avenue C,40.72299208,-73.97995466,18977,Subscriber,1996,male,
520,8/9/2016 10:18:26,8/9/2016 10:27:07,257,Lispenard St & Broadway,40.71939226,-74.00247214,263,Elizabeth St & Hester St,40.71759082,-73.9962244,18813,Subscriber,1948,male,
486,11/3/2017 22:44:29,11/3/2017 22:52:35,319,Fulton St & Broadway,40.711066,-74.009447,3467,W Broadway & Spring Street,40.72494672,-74.00165856,17172,Subscriber,1996,female,
776,9/5/2017 18:42:26,9/5/2017 18:55:22,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,3409,Bergen St & Smith St,40.6867443,-73.99063168,21244,Subscriber,1999,male,
171,9/14/2016 13:12:47,9/14/2016 13:15:38,430,York St & Jay St,40.7014851,-73.98656928,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,23769,Subscriber,1943,male,
1230,5/18/2017 17:49:23,5/18/2017 18:09:54,412,Forsyth St & Canal St,40.7158155,-73.99422366,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,28327,Subscriber,1947,male,
1210,7/30/2017 17:40:56,7/30/2017 18:01:07,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,25382,Subscriber,1999,male,
1455,9/7/2017 12:16:27,9/7/2017 12:40:42,3002,South End Ave & Liberty St,40.711512,-74.015756,279,Peck Slip & Front St,40.707873,-74.00167,30209,Customer,1997,male,
1418,12/2/2015 17:51:54,12/2/2015 18:15:33,368,Carmine St & 6 Ave,40.73038599,-74.00214988,335,Washington Pl & Broadway,40.72903917,-73.99404649,17567,Subscriber,1942,male,
473,7/24/2017 1:49:27,7/24/2017 1:57:20,3410,Dean St & Hoyt St,40.6864442,-73.98759104,3308,Kane St & Clinton St,40.6861758,-73.99645295,18998,Subscriber,1998,male,
3206,9/30/2017 7:16:45,9/30/2017 8:10:11,3295,Central Park W & W 96 St,40.79127,-73.964839,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,31258,Subscriber,1947,male,
1490,7/25/2016 13:34:31,7/25/2016 13:59:22,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,3176,W 64 St & West End Ave,40.77452835,-73.98753759,25873,Subscriber,1947,male,
187,3/13/2018 20:55:19,3/13/2018 20:58:26,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,20583,Subscriber,1944,unknown,
997,4/14/2015 14:03:55,4/14/2015 14:20:33,391,Clark St & Henry St,40.69760127,-73.99344559,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,18237,Subscriber,1936,female,
301,4/1/2018 21:43:05,4/1/2018 21:48:06,486,Broadway & W 29 St,40.7462009,-73.98855723,334,W 20 St & 7 Ave,40.74238787,-73.99726235,28039,Subscriber,1951,male,
781,12/29/2017 18:33:27,12/29/2017 18:46:29,465,Broadway & W 41 St,40.75513557,-73.98658032,422,W 59 St & 10 Ave,40.770513,-73.988038,16414,Subscriber,2001,male,
266,4/25/2016 9:15:23,4/25/2016 9:19:49,484,W 44 St & 5 Ave,40.75500254,-73.98014437,465,Broadway & W 41 St,40.75513557,-73.98658032,21689,Subscriber,1947,male,
460,12/3/2015 14:35:01,12/3/2015 14:42:42,285,Broadway & E 14 St,40.73454567,-73.99074142,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,20852,Subscriber,1942,male,
1954,4/26/2017 15:28:13,4/26/2017 16:00:48,527,E 33 St & 2 Ave,40.744023,-73.976056,3160,Central Park West & W 76 St,40.77896784,-73.97374737,19209,Subscriber,1951,female,
289,5/9/2016 9:19:52,5/9/2016 9:24:42,468,Broadway & W 55 St,40.7652654,-73.98192338,520,W 52 St & 5 Ave,40.75992262,-73.97648516,14839,Subscriber,1945,male,
517,8/1/2013 10:29:05,8/1/2013 10:37:42,72,W 52 St & 11 Ave,40.76727216,-73.99392888,528,2 Ave & E 31 St,40.74290902,-73.97706058,18281,Subscriber,1950,male,
1543,6/28/2017 13:16:30,6/28/2017 13:42:13,334,W 20 St & 7 Ave,40.74238787,-73.99726235,3359,E 68 St & Madison Ave,40.7691572,-73.96703464,29709,Subscriber,1950,male,
619,8/27/2015 1:11:31,8/27/2015 1:21:51,445,E 10 St & Avenue A,40.72740794,-73.98142006,349,Rivington St & Ridge St,40.71850211,-73.98329859,24339,Subscriber,1942,male,
2157,9/30/2013 15:56:38,9/30/2013 16:32:35,285,Broadway & E 14 St,40.73454567,-73.99074142,302,Avenue D & E 3 St,40.72082834,-73.97793172,14984,Subscriber,1951,male,
677,11/12/2017 16:53:35,11/12/2017 17:04:53,391,Clark St & Henry St,40.69760127,-73.99344559,3411,Bond St & Bergen St,40.6849668,-73.98620772,25151,Subscriber,1951,male,
207,7/22/2017 17:49:24,7/22/2017 17:52:52,3310,14 St & 7 Ave,40.663779,-73.98396846,3322,12 St & 4 Ave,40.668603,-73.9904394,30151,Subscriber,1952,male,
490,6/6/2014 16:28:06,6/6/2014 16:36:16,513,W 56 St & 10 Ave,40.768254,-73.988639,529,W 42 St & 8 Ave,40.7575699,-73.99098507,15098,Subscriber,1951,male,
608,5/20/2017 17:57:46,5/20/2017 18:07:55,407,Henry St & Poplar St,40.700469,-73.991454,3388,President St & Henry St,40.6828003,-73.99990419,18476,Subscriber,1950,female,
262,8/5/2016 9:38:53,8/5/2016 9:43:16,459,W 20 St & 11 Ave,40.746745,-74.007756,334,W 20 St & 7 Ave,40.74238787,-73.99726235,22485,Subscriber,1952,female,
498,7/19/2016 7:16:45,7/19/2016 7:25:04,487,E 20 St & FDR Drive,40.73314259,-73.97573881,527,E 33 St & 2 Ave,40.744023,-73.976056,19369,Subscriber,1948,female,
798,12/12/2017 23:56:51,12/13/2017 0:10:10,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,31089,Subscriber,1998,male,
892,7/3/2015 3:32:01,7/3/2015 3:46:53,285,Broadway & E 14 St,40.73454567,-73.99074142,330,Reade St & Broadway,40.71450451,-74.00562789,18840,Subscriber,1998,male,
257,1/25/2018 12:09:58,1/25/2018 12:14:15,477,W 41 St & 8 Ave,40.75640548,-73.9900262,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18028,Subscriber,1949,male,
182,3/1/2016 15:19:12,3/1/2016 15:22:14,280,E 10 St & 5 Ave,40.73331967,-73.99510132,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,20325,Subscriber,1949,male,
713,9/2/2015 22:27:30,9/2/2015 22:39:24,382,University Pl & E 14 St,40.73492695,-73.99200509,394,E 9 St & Avenue C,40.72521311,-73.97768752,19324,Subscriber,1950,male,
283,5/28/2018 16:27:23,5/28/2018 16:32:07,3409,Bergen St & Smith St,40.6867443,-73.99063168,3412,Pacific St & Nevins St,40.6853761,-73.98302136,30177,Subscriber,1998,male,
1249,9/25/2017 14:09:03,9/25/2017 14:29:53,3152,3 Ave & E 71 St,40.76873687,-73.96119945,3293,W 92 St & Broadway,40.7921,-73.9739,31000,Subscriber,1951,male,
400,4/26/2017 12:48:02,4/26/2017 12:54:43,2003,1 Ave & E 18 St,40.73381219,-73.98054421,483,E 12 St & 3 Ave,40.73223272,-73.98889957,16021,Subscriber,1996,female,
1636,4/19/2018 17:30:13,4/19/2018 17:57:29,520,W 52 St & 5 Ave,40.75992262,-73.97648516,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,28205,Subscriber,1999,female,
376,9/28/2016 9:34:11,9/28/2016 9:40:28,379,W 31 St & 7 Ave,40.749156,-73.9916,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,25977,Subscriber,1996,male,
476,8/23/2016 20:07:06,8/23/2016 20:15:03,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,22498,Subscriber,1996,female,
410,2/14/2018 22:21:33,2/14/2018 22:28:23,3528,Steinway St & 23 Ave,40.7713937,-73.9077436,3662,31 Ave & Steinway St,40.7612939,-73.91691685,18544,Subscriber,1998,female,
574,7/18/2014 10:48:42,7/18/2014 10:58:16,293,Lafayette St & E 8 St,40.73028666,-73.9907647,2010,Grand St & Greene St,40.72165481,-74.00234737,18483,Subscriber,1952,female,
409,9/22/2017 8:32:33,9/22/2017 8:39:23,127,Barrow St & Hudson St,40.73172428,-74.00674436,335,Washington Pl & Broadway,40.72903917,-73.99404649,25221,Subscriber,1997,male,
358,6/16/2015 2:40:00,6/16/2015 2:46:00,314,Cadman Plaza West & Montague St,40.69383,-73.990539,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,17857,Subscriber,1997,male,
678,4/17/2017 23:17:36,4/17/2017 23:28:55,432,E 7 St & Avenue A,40.72621788,-73.98379855,383,Greenwich Ave & Charles St,40.735238,-74.000271,15023,Subscriber,1940,male,
