station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
3875,Stephen St & Seneca Ave,4798.10,40.6988,-73.9007,71,"KEY,CREDITCARD",15,FALSE,6,0,9,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
400,Pitt St & Stanton St,5406.04,40.71926081,-73.98178024,71,"KEY,CREDITCARD",15,FALSE,5,0,10,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
391,Clark St & Henry St,4789.03,40.69760127,-73.99344559,71,"KEY,CREDITCARD",15,FALSE,2,1,12,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3604,Rogers Ave & Sterling St,3696.05,40.6630619,-73.9538746,71,"KEY,CREDITCARD",17,FALSE,17,0,0,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3903,Jefferson Ave & Evergreen Ave,4517.03,40.68989,-73.91458,71,"KEY,CREDITCARD",17,FALSE,12,0,5,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3873,Madison St & Cypress Ave,4807.02,40.70068,-73.90742,71,"KEY,CREDITCARD",17,FALSE,5,1,11,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3910,Greene Ave & Grandview Ave,5106.04,40.709697,-73.907856,71,"KEY,CREDITCARD",17,FALSE,4,0,13,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3849,Suydam St & St. Nicholas Ave,5043.06,40.70636,-73.91945,71,"KEY,CREDITCARD",17,FALSE,3,0,14,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3852,Stewart Ave & Johnson Ave,5123.07,40.70869,-73.92587,71,"KEY,CREDITCARD",17,FALSE,3,0,14,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3897,Onderdonk Ave & Dekalb Ave,5115.01,40.70863,-73.91497,71,"KEY,CREDITCARD",17,FALSE,2,0,15,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3901,Stanhope St & Fairview Ave,5146.03,40.70998,-73.91116,71,"KEY,CREDITCARD",17,FALSE,1,0,16,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3907,Central Ave & Melrose St,4832.07,40.70112,-73.93039,71,"KEY,CREDITCARD",17,FALSE,1,0,16,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3094,Graham Ave & Withers St,5403.04,40.7169811,-73.94485918,71,"KEY,CREDITCARD",18,FALSE,16,0,2,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3255,8 Ave & W 31 St,6450.05,40.75058535,-73.99468482,71,"KEY,CREDITCARD",18,FALSE,13,1,4,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3681,Grand St,JC102,40.71517768,-74.03768331,70,"KEY,CREDITCARD",18,FALSE,10,3,5,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3833,Madison St & Evergreen Ave,4560.01,40.69122,-73.91693,71,"KEY,CREDITCARD",18,FALSE,13,0,5,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3049,Cambridge Pl & Gates Ave,4377.04,40.68488,-73.96304,71,"KEY,CREDITCARD",18,FALSE,12,0,6,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3210,Pershing Field,JC024,40.74267714,-74.05178863,70,"KEY,CREDITCARD",18,FALSE,12,0,6,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3863,Central Ave & Woodbine St,4632.10,40.69296,-73.91605,71,"KEY,CREDITCARD",18,FALSE,12,0,6,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3191,Union St,JC051,40.7182113,-74.0836394,70,"KEY,CREDITCARD",18,FALSE,11,0,7,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3273,Manila & 1st,JC082,40.72165072,-74.04288411,70,"KEY,CREDITCARD",18,FALSE,11,0,7,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
